Field Season	Date Collected	Plot	Species	Sex	Weight	Scale Calibrated
2013	2013-07-16	2	DM	F		1
2013	2013-07-16	7	DM	M	33	1
2013	2013-07-16	3	DM	M		1
2013	2013-07-16	1	DM	M		1
2013	2013-07-18	3	DM	M	40	1
2013	2013-07-18	7	DM	M	48	1
2013	2013-07-18	4	DM	F	29	1
2013	2013-07-18	6	DM	F	37	1
2013	2013-08-19	8	DO	F	52	1
2013	2013-10-17	3	DO	F	33	1
2013	2013-10-17	3	DO	F	50	1
2013	2013-12-10	9	DO	F	40	1
2013	2013-12-10	1	DO	M	45	1
2013	2013-12-11	8	DO	F	41	1
2013	2013-11-12	9	DS	F	117	1
2013	2013-11-13	11	DS	F	126	1
2013	2013-11-13	17	DS	M	132	0
2013	2013-11-13	14	DS	F	113	0
2013	2013-11-13	11	DS	F	122	1
2013	2013-11-13	4	DS	F	107	1
2013	2013-11-13	4	DS	F	115	1
2014	2014-01-09	1	DM	M	40	1
2014	2014-01-09	1	DM	F	36	1
2014	2014-03-13	1	DM	F	51	1
2014	2014-03-13	1	DM	F	44	1
2014	2014-03-13	1	DS	F	146	1
2014	2014-01-08	2	NA			
2014	2014-01-08	2	DM	M	44	1
2014	2014-01-08	2	PF	F	7	1
2014	2014-01-08	2	DM	M	45	1
2014	2014-01-08	2	OT			
2014	2014-01-08	2	DS	M	157	0
2014	2014-01-08	2	OX			
2014	2014-02-18	2	NA	M	218	0
2014	2014-02-18	2	PF	F	7	1
2014	2014-02-18	2	DM	M	52	1
2015	2015-03-11	3	PF	M	8	1
2015	2015-04-08	3	NA	F		
2015	2015-05-06	3				
2015	2015-05-18	3	NA	F	182	1
2015	2015-06-09	3	OT	F	29	1
2015	2015-07-08	3	NA	F	115	1
2015	2015-07-08	3	NA	M	190	1
1978	1978-01-08	4	DM	F	37	1
1978	1978-01-08	4	DM	M		
1978	1978-01-08	4	DM	F	48	1
1978	1978-01-08	4	DO	M	52	1
1978	1978-01-08	4	OL	M	35	1
